R;G;B;A;Count
207;118;25;72;1
204;112;22;95;2
201;107;19;121;1
185;78;3;200;15
240;100;3;200;31
199;104;18;101;1
207;117;25;43;1
210;124;30;27;1
191;88;9;36;2
182;73;0;41;1
206;116;25;19;2
205;114;24;29;1
204;113;23;41;1
206;116;25;51;1
206;116;24;64;1
207;118;25;74;1
206;117;25;91;1
204;113;22;107;1
203;110;21;125;1
240;101;3;201;29
202;108;20;131;1
202;109;20;118;2
204;112;22;96;1
206;116;25;70;1
210;124;30;46;1
214;129;33;32;1
210;121;28;26;2
203;109;21;25;1
193;94;12;26;3
188;83;6;53;3
190;88;8;63;2
197;99;15;57;1
203;111;22;48;1
212;127;31;39;1
219;138;38;32;1
220;140;40;33;1
214;129;33;39;1
209;120;28;45;1
202;110;21;48;3
196;97;14;15;5
185;79;3;47;2
186;79;4;77;1
196;99;14;96;2
204;113;22;77;1
210;123;28;66;2
212;128;32;67;1
208;119;26;82;2
202;109;21;107;1
198;101;15;132;1
191;89;9;83;1
191;90;9;50;2
204;113;23;9;14
201;107;20;43;1
204;114;23;87;1
206;117;25;113;1
209;121;26;138;1
211;128;30;160;1
189;85;7;214;5
241;107;8;217;12
241;108;9;220;11
242;146;38;222;4
242;147;38;223;2
245;185;66;222;17
242;146;37;220;4
242;145;37;217;3
187;83;6;209;6
208;121;26;139;1
207;119;25;105;1
206;117;25;74;1
207;118;26;49;1
207;118;26;30;1
209;121;28;17;2
208;119;28;8;6
219;140;39;15;4
207;118;26;51;1
202;109;21;79;1
200;106;19;115;1
185;79;3;201;12
242;143;35;204;15
240;102;4;204;23
202;109;20;130;1
204;112;22;73;1
201;107;19;64;1
194;94;13;64;1
190;87;8;72;3
184;76;2;31;2
239;175;60;8;1
227;153;47;16;3
219;139;39;27;1
216;133;35;42;1
212;127;31;59;1
209;124;29;82;1
208;120;26;108;2
206;117;24;131;1
205;116;23;149;2
245;185;66;203;15
202;109;20;128;2
204;113;22;95;1
207;118;25;64;2
210;122;28;43;3
203;110;21;37;2
194;95;12;45;2
188;83;6;55;1
218;137;38;7;4
204;111;22;31;1
202;109;21;49;2
202;109;21;66;2
204;112;22;82;1
209;123;28;122;1
209;122;27;135;1
208;121;26;150;1
208;121;25;154;2
207;119;25;153;3
207;118;24;126;1
208;120;26;100;1
210;124;30;72;1
212;127;31;51;1
211;125;30;36;1
208;119;27;29;1
202;109;21;26;2
194;94;12;26;5
189;85;7;38;3
189;85;7;61;2
189;85;7;81;1
199;103;17;86;1
206;116;25;71;1
215;133;35;55;1
224;148;44;47;1
226;152;45;46;1
219;138;38;54;1
210;124;29;65;1
204;113;23;76;1
197;99;15;74;1
197;100;15;62;2
187;82;5;47;1
189;84;7;77;1
242;141;34;196;5
203;111;21;109;3
209;122;27;98;2
212;127;31;96;1
213;129;32;102;1
209;124;28;119;1
205;115;23;144;2
186;80;4;203;7
242;142;34;200;8
194;95;12;100;1
194;95;12;61;1
198;101;16;33;2
205;114;25;13;2
202;108;21;21;1
201;106;19;36;3
202;110;21;79;2
205;115;23;106;2
207;119;25;136;1
211;127;30;159;2
241;108;9;219;13
241;109;10;224;10
241;110;11;228;10
243;148;39;230;7
245;185;66;231;10
245;185;66;230;17
242;147;38;227;5
242;147;38;224;6
206;118;24;140;2
204;113;22;106;1
203;110;21;75;2
202;109;20;28;1
202;108;20;15;2
224;149;45;7;4
218;137;38;14;4
